"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HIST1H3D",3.04678848201949,4.57766462367669,17.1257170847982,5.75276018082946e-59,9.40551038024519e-58,123.164473302122
"ZHX3",-1.0498102735845,9.46257898829236,-17.1208063650117,6.15602340147266e-59,1.00568018662336e-57,123.097011053056
"STX11",-1.82492931627956,6.6953008758111,-17.1205222020945,6.1802031531117e-59,1.00882583103304e-57,123.093107651942
"INPP1",-1.27403364195219,7.66423513997819,-17.1024501587024,7.92942966378586e-59,1.29024857896995e-57,122.84494181776
"NUDT16L1",1.1915988028925,9.39619689816189,17.1022882536969,7.94714874425477e-59,1.2921054696413e-57,122.842719251191
"CSRP1",-1.28544291985033,12.5631720437911,-17.0999481298264,8.20770976627722e-59,1.33341112031685e-57,122.810596399554
"LASS2",1.17314888009391,12.9279160229585,17.0991697304545,8.29625556385803e-59,1.34672814168935e-57,122.799911911511
"EMX2OS",-2.47379656792079,4.92447098080189,-17.0955463814854,8.72112992488766e-59,1.41457694094417e-57,122.750180874754
"HLA-F-AS1",-1.68146125534139,4.5096775118029,-17.093672919855,8.94925475269481e-59,1.45043063974451e-57,122.724469824379
"NPAS4",-1.69363532732622,1.15316911785422,-17.0858036217691,9.97430481393422e-59,1.6140095451679e-57,122.616491659712
"ST6GALNAC6",-1.0807550574365,9.97656472964623,-17.0688433296813,1.25991544944838e-58,2.0371450589897e-57,122.383874499686
"FAT4",-2.27400545258576,7.51909712305758,-17.0620567005762,1.38332098462059e-58,2.23491432893827e-57,122.290832481107
"ARHGAP24",-1.46119429819088,7.53391857148351,-17.0479150932594,1.68055764468093e-58,2.71085857550658e-57,122.097028852573
"KIF4B",1.63900559461413,2.73770095416824,17.0340637373275,2.03333057782918e-58,3.27732574487873e-57,121.907297723559
"PPARA",-1.66470434820314,8.17989470352511,-17.0319409825923,2.09356647679249e-58,3.37176122984049e-57,121.878229249466
"CRHR2",-1.17169230908137,0.701565911450995,-17.019579828135,2.4814091932938e-58,3.98699205755425e-57,121.709002504209
