"","p.value","HR","Low 95%CI","High 95%CI"
"LTA",0.00487266264166497,0.864591444626324,0.781304463021149,0.956756810565921
"LTB",0.000260050502663503,0.872887357750531,0.811470700125284,0.938952372775836
"LTF",0.0239649116097615,0.947740798753044,0.904592861983546,0.992946837598854
"LY75",0.0194719966412105,0.876340140863366,0.784478847173553,0.978958253948334
"MAF",0.262249229807103,0.897566871057539,0.743045073238967,1.08422263606198
"MAP3K5",0.635632342813753,0.957747019749908,0.801112573891514,1.14500681144476
"MAP3K8",0.049869126090511,0.859388553951495,0.738612654879733,0.999913394095717
"MARCH4",0.0586988139575222,1.0883181143099,0.996892417802943,1.18812852498712
"MARCO",0.103912717728181,0.952466502879063,0.898169056359175,1.01004641908292
"MBP",0.0660674521349104,0.866557517005948,0.743816793965942,1.00955226659469
"MCOLN2",0.00928240048655228,0.847872179185877,0.748745341987813,0.96012247679413
"MERTK",0.882508568362047,1.01397046055852,0.843565457663195,1.21879823971616
"MFNG",0.0121084971354467,0.829667292282955,0.717055982747753,0.959963841660434
"MGAT3",0.00589541291565612,0.84459912834483,0.748929170682297,0.952490189360584
"MMP12",0.0556615925759566,0.938501872668992,0.879434594580639,1.00153640808639
"MMP9",0.164851376672964,0.941343236257937,0.864377002862371,1.02516273051478
"MPO",0.0533810848474618,0.859107289286635,0.736434538314237,1.00221444827252
"MRC1",0.0178059292326817,0.88800062283802,0.804905577634227,0.979674048822469
"MSRA",0.0247918145970924,0.808706196240139,0.671855140713712,0.973432622905056
"MYEOV",0.0231884924819057,0.91174398115147,0.841843109802837,0.987448940884745
"MYT1",0.94512142636293,1.00232606109834,0.938163461162103,1.07087685072753
"NAALADL1",0.0186474097718025,0.837379340644921,0.722280285815037,0.970820018087117
"NEURL3",0.111357744215329,0.911360229542419,0.812955783462845,1.02167606761306
"NFKBIE",0.00266761767357195,0.717960669655732,0.578365519588305,0.891248709880614
"NLRP1",0.0103535357678333,0.825551094680003,0.713011471112376,0.955853639863722
"NMUR1",0.019563657362061,0.858120939130748,0.754676549763908,0.975744570842968
"NOD2",0.399153887888193,0.946097388061656,0.831755805243794,1.0761575237034
